date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,6.3,3.4,8.6,1.5,0,216,10.2,35.2,1014.8,
2024-01-02,8.8,3.7,12.6,10.5,0,202,19.4,63,1007.9,
2024-01-03,10.9,9,14,0.6,0,239,22.8,63,1005.3,
2024-01-04,7.9,4.8,10.4,0.5,0,231,14.6,53.7,1010.4,
2024-01-05,5.6,4.7,6.5,1.4,0,116,7.3,24.1,1006.2,
2024-01-06,5.1,3.9,6.2,3.2,0,277,5.2,14.8,1009.9,
2024-01-07,2.8,-0.8,4.1,3.3,0,326,8.5,31.5,1015,
2024-01-08,-1.2,-2.3,-0.7,0.1,20,26,9.3,27.8,1022.5,
2024-01-09,-3.4,-4.9,-0.9,3,20,32,5.8,20.4,1026.3,
2024-01-10,-3,-5,-1.5,0,60,31,4.8,14.8,1027.2,
2024-01-11,-2.9,-4.2,-1.5,0,50,319,4.5,13,1029.9,
2024-01-12,-4.4,-7.5,-2,0,40,24,5.2,18.5,1032.4,
2024-01-13,-4.4,-6.3,-2.6,0,40,166,4.1,16.7,1027.8,
2024-01-14,-4.4,-8.9,-0.6,0,40,144,4.7,13,1016.1,
2024-01-15,0.7,-2.8,4.1,0,40,260,8.2,37,1010.9,
2024-01-16,-1.7,-5,1.1,6,10,100,6.1,22.2,1012.4,
2024-01-17,4.7,0.3,11.4,7.8,0,132,11.5,31.5,995.7,
2024-01-18,5.9,-0.5,12.5,8.8,0,240,13.4,44.5,998.5,
2024-01-19,-1.6,-4.3,1.5,0,10,322,5.4,24.1,1022.1,
2024-01-20,-2.9,-5.9,0.8,0,0,69,5.2,18.5,1031.5,
2024-01-21,-0.9,-4.2,3.8,0,0,106,10,27.8,1031.9,
2024-01-22,3.4,-1,9,19.8,0,165,13,37,1025.2,
2024-01-23,7.8,5.9,10.5,1.5,0,230,10,35.2,1032.5,
2024-01-24,11.3,7,14.9,4.7,0,239,14.2,51.8,1031.6,
2024-01-25,10.3,8.7,12.6,1.6,0,255,7.5,25.9,1031.7,
2024-01-26,9.6,4.6,12.4,0.7,0,194,7.3,40.8,1031.7,
2024-01-27,4.1,1.5,8.3,0,0,14,4.6,20.4,1036.7,
2024-01-28,4.8,1.2,9.1,0,0,92,9.6,27.8,1032.9,
2024-01-29,4.2,0.6,9.1,0,0,99,10.1,25.9,1032.5,
2024-01-30,4.8,0.4,9.6,0,0,102,7.7,20.4,1034,
2024-01-31,6.6,1.7,12.2,0,0,124,5.1,18.5,1035.2,
2024-02-01,8.7,6.8,10.2,1,0,229,5.8,22.2,1033.4,
2024-02-02,7.1,3,11.3,0,0,155,4.1,14.8,1035.4,
2024-02-03,4.7,0.3,9.5,0,0,217,5.8,24.1,1033.8,
2024-02-04,6.1,3.4,9.6,0,0,231,7.3,27.8,1032.4,
2024-02-05,5.8,1.3,10.3,0,0,206,5.5,20.4,1029.1,
2024-02-06,5.7,1.1,8.4,0,0,240,7.6,29.6,1024.1,
2024-02-07,9.3,4.4,13.1,0.4,0,223,12.7,42.6,1014,
2024-02-08,11.2,8.9,14.6,1.1,0,196,10.4,40.8,1004.3,
2024-02-09,10.8,8.9,13.7,3.7,0,129,8.6,40.8,993.5,
2024-02-10,8.9,6.1,10.5,1.7,0,73,6.8,20.4,987.8,
2024-02-11,8,5.6,10.8,0.6,0,230,9.6,33.3,996.9,
2024-02-12,7.8,5.3,9.7,0,0,247,7.6,25.9,1008.4,
2024-02-13,6.9,2.2,11.5,0,0,198,3.8,11.1,1021.4,
2024-02-14,10.7,4.6,14.1,0,0,119,5.6,18.5,1024.2,
2024-02-15,9.4,5.2,14.4,0,0,97,8.9,29.6,1019.9,
2024-02-16,11.1,7.8,14.3,1.2,0,142,6.8,27.8,1019.7,
2024-02-17,10.5,9.1,11.9,0.7,0,271,5,18.5,1031,
2024-02-18,9.2,7.1,12.3,5.1,0,266,4.1,24.1,1032.6,
2024-02-19,10.2,8.6,12.8,0.6,0,255,10.3,31.5,1030.8,
2024-02-20,8,4.6,10.8,0,0,255,6.2,25.9,1031,
2024-02-21,7.7,2.9,13.4,3.4,0,117,6.6,20.4,1022.4,
2024-02-22,10.9,5,14.1,8.5,0,201,19.7,70.4,1002.1,
2024-02-23,6.8,2.2,10.5,0.3,0,209,9.4,64.8,999.8,
2024-02-24,5,1.7,7.9,1.7,0,145,6.6,22.2,1004.6,
2024-02-25,6.7,1.1,13.1,0.6,0,102,10.6,29.6,1004.5,
2024-02-26,8.6,4.3,13.4,0,0,90,7.8,27.8,999.6,
2024-02-27,7.6,4.5,10.5,0.1,0,316,6,20.4,1010.9,
2024-02-28,7.1,4.7,9.8,0,0,300,5.6,16.7,1020.5,
2024-02-29,7.2,4.8,11.4,0.5,0,132,3.7,14.8,1015,
2024-03-01,7,5.6,9.4,0,0,152,5.8,18.5,1008.5,
2024-03-02,8.3,4.4,13.6,0,0,101,10.4,31.5,1003.5,
2024-03-03,8,4.7,12,0,0,324,7,38.9,999.4,
2024-03-04,6.8,5.4,8.7,0,0,261,6.4,31.5,1011.3,
2024-03-05,7.5,5.6,10.6,3,0,238,6.5,25.9,1016.6,
2024-03-06,5.6,4.6,7.2,7.5,0,247,6.2,20.4,1022.4,
2024-03-07,6.1,2.7,9.3,0,0,110,5.8,29.6,1019.6,
2024-03-08,6.3,1.4,10.9,0,0,94,8.4,29.6,1010,
2024-03-09,8.8,1.9,14.7,0,0,89,8.9,27.8,1001.3,
2024-03-10,7.2,4.8,9.7,6.7,0,190,6.5,22.2,996.7,
2024-03-11,6.7,2.9,12.4,0.3,0,168,6.8,22.2,1007.2,
2024-03-12,7.3,3.6,10,7.4,0,222,7.9,29.6,1018.8,
2024-03-13,8.7,6.6,13.2,2.4,0,204,7,20.4,1019.4,
2024-03-14,13.9,4.1,17.8,0,0,107,6.4,18.5,1015.9,
2024-03-15,11.9,6.2,17.3,11.4,0,198,7.4,27.8,1016.1,
2024-03-16,11.4,7.9,14.8,0.2,0,246,11.6,37,1022.1,
2024-03-17,10.1,6.1,13.7,4.2,0,97,4.8,14.8,1022.7,
2024-03-18,10.9,7.4,14.7,13.2,0,123,5.5,16.7,1017.8,
2024-03-19,11.1,6.6,17.2,0,0,95,4.4,16.7,1019.1,
2024-03-20,11.9,4.5,19.4,2.3,0,112,5.5,24.1,1019.4,
2024-03-21,13.4,9.8,19.4,0.2,0,214,7,29.6,1023.7,
2024-03-22,13.8,8.7,20.5,1.8,0,186,5.5,20.4,1020.2,
2024-03-23,9.7,4.1,16,6.9,0,245,16.2,55.5,1015.1,
2024-03-24,6.1,2.7,9.9,1.2,0,251,14.9,48.2,1014,
2024-03-25,8,2.2,13,0,0,105,8.4,33.3,1006.7,
2024-03-26,11.1,6.4,18.3,0,0,99,8.1,25.9,992.7,
2024-03-27,7,4,10.5,0.1,0,211,8.6,35.2,991.4,
2024-03-28,7.8,3.6,13.8,1.4,0,175,12.7,48.2,995.6,
2024-03-29,11.4,8,18.3,0,0,91,10.4,37,997.7,
2024-03-30,11.7,7.8,15.8,3.2,0,145,7.7,37,998.2,
2024-03-31,11.3,6.7,16,5.2,0,144,5.1,18.5,998.3,
2024-04-01,8,6.2,13.5,0.6,0,246,12,46.3,1001.6,
2024-04-02,8.3,6.4,14.9,0.1,0,232,11,42.6,1014,
2024-04-03,10.2,6,13.9,1.9,0,161,10.5,33.3,1012.8,
2024-04-04,13.8,11.2,18,3,0,193,10,37,1015.7,
2024-04-05,16.3,10.3,24.2,0,0,153,8.6,29.6,1015.8,
2024-04-06,19.2,9.9,28.8,0,0,130,8.7,29.6,1016.2,
2024-04-07,19.4,12.7,26.2,0,0,102,8.3,24.1,1015.8,
2024-04-08,19.3,12.2,25.6,0,0,106,6.8,24.1,1010.3,
2024-04-09,10.7,5.9,20.7,1.3,0,228,10,46.3,1016.6,
2024-04-10,8.7,4.7,13.4,0,0,312,4.6,18.5,1029.2,
2024-04-11,10.2,2.5,16.9,0,0,264,4,14.8,1033.4,
2024-04-12,13.8,5.6,21.4,0,0,139,4,14.8,1032.8,
2024-04-13,16.5,7.1,26.5,0,0,112,4.5,14.8,1027.8,
2024-04-14,18.5,10.4,26.5,0,0,238,6.1,29.6,1021.7,
2024-04-15,15.9,6.6,20,4.8,0,257,13.4,59.3,1013.7,
2024-04-16,7.1,4.3,11.7,3.4,0,255,18.7,55.5,1012.8,
2024-04-17,6.1,2.8,10.9,4.8,0,253,12.4,38.9,1013.1,
2024-04-18,5.5,1.9,10.1,0.2,0,265,6.4,22.2,1017.8,
2024-04-19,6.3,2.4,8.8,3.2,0,226,11.7,42.6,1019.5,
2024-04-20,5.7,4,8.7,4.5,0,264,8.7,29.6,1020.6,
2024-04-21,3.9,2.1,6,3.9,0,270,7.2,25.9,1021.5,
2024-04-22,4,2.1,5.7,0.4,0,327,6.5,22.2,1020.6,
2024-04-23,4.6,0.8,9.2,0,0,321,6.7,27.8,1017.6,
2024-04-24,4.8,0.4,8.7,2,0,228,9.1,37,1013.9,
2024-04-25,6.5,3.3,10.7,0.6,0,238,6.1,24.1,1010.5,
2024-04-26,7.6,4.5,13.4,3.8,0,118,7.2,24.1,1007.6,
2024-04-27,14.1,6.3,22,0,0,103,8.7,29.6,1007.2,
2024-04-28,12,9.8,14.4,0.8,0,198,5.5,20.4,1013.5,
2024-04-29,13.3,8.8,18.2,0,0,29,5.1,18.5,1020,
2024-04-30,16.2,8.4,24.2,0,0,264,4.8,18.5,1014.5,
2024-05-01,17.9,10.2,27.1,0.4,0,116,5.4,25.9,1004.4,
2024-05-02,12.8,10.3,15.6,3.8,0,237,9.3,37,1003.2,
2024-05-03,11.6,7,15,0,0,246,9.8,33.3,1015.1,
2024-05-04,13.8,6.3,20.5,1.1,0,131,6.6,31.5,1014.9,
2024-05-05,14.9,12.6,20.4,11.7,0,174,6.5,24.1,1011.9,
2024-05-06,13.2,10.8,15.1,12.4,0,191,5.4,18.5,1010.8,
2024-05-07,12,10.5,13.8,4,0,234,4.1,13,1016.4,
2024-05-08,13.9,9.5,18.5,0,0,327,5.8,31.5,1022.9,
2024-05-09,14,9.2,19.5,0,0,49,4.5,20.4,1023.9,
2024-05-10,15.6,7.1,22.9,0,0,89,3.8,16.7,1020.9,
2024-05-11,17.7,8.4,25.4,0,0,88,4.4,16.7,1018.7,
2024-05-12,18.7,10.9,26.3,0.9,0,112,5.9,27.8,1015.6,
2024-05-13,18.6,13.2,23.8,23.3,0,112,4.5,20.4,1013,
2024-05-14,17.8,10.8,26.2,2.4,0,85,8.1,42.6,1006.4,
2024-05-15,14.3,12.1,19.5,6.8,0,264,5.5,31.5,1006.5,
2024-05-16,12.8,10.9,16.4,19,0,207,5.5,20.4,1007.2,
2024-05-17,13.2,10.4,18.1,1.4,0,248,11.3,33.3,1009.8,
2024-05-18,14.1,9.3,21.1,1.3,0,197,5.7,24.1,1012.2,
2024-05-19,15.6,10.3,21.5,0,0,240,5.1,22.2,1012.5,
2024-05-20,17.4,10.8,24,27.9,0,308,4.3,18.5,1009.8,
2024-05-21,14.3,12.1,18.2,9.7,0,237,5.5,18.5,1008.5,
2024-05-22,15.4,12.2,20.2,0.1,0,240,7.6,29.6,1013,
2024-05-23,13.3,10.3,16.9,0.1,0,185,4.2,16.7,1017.4,
2024-05-24,13.5,9.5,19.2,16.3,0,212,4.5,18.5,1018.6,
2024-05-25,14.7,9.2,20.5,0,0,149,4.1,16.7,1018.2,
2024-05-26,16.4,10.1,22.6,0.6,0,125,4.8,18.5,1017.9,
2024-05-27,16.1,13.9,19.6,1,0,215,5.2,22.2,1019.1,
2024-05-28,16.2,11.7,21.3,0,0,266,6.8,20.4,1020.7,
2024-05-29,14.2,11.8,17.3,8.8,0,153,5.5,20.4,1016.1,
2024-05-30,14.7,11.1,19.7,4.6,0,235,8.8,29.6,1009,
2024-05-31,12.4,10.7,15.6,9.1,0,243,9.4,27.8,1012.5,
2024-06-01,14.3,11.7,18.3,2,0,233,5.9,18.5,1016.4,
2024-06-02,15.2,13.3,17.9,3.9,0,221,3.8,13,1018.8,
2024-06-03,14.7,12.5,17.6,0.3,0,300,6.4,18.5,1018.4,
2024-06-04,17.3,13.6,22.4,0,0,255,4.7,18.5,1015,
2024-06-05,19.1,13.3,24.5,0,0,228,6.2,27.8,1014.2,
2024-06-06,19.1,12.5,25.2,0.2,0,240,6.2,29.6,1016.3,
2024-06-07,20.6,16,26,0,0,254,6,27.8,1017.6,
2024-06-08,18.7,15.9,22.9,8.3,0,192,5,18.5,1013.5,
2024-06-09,17.8,14.8,21.3,1.6,0,293,5.1,20.4,1009,
2024-06-10,17.7,13.5,22.3,0,0,276,10,40.8,1009.8,
2024-06-11,14,10.9,18.2,0.1,0,296,6.9,24.1,1015.8,
2024-06-12,14.8,8.3,20,0,0,284,5.5,25.9,1018.4,
2024-06-13,15.8,10.5,21.3,0,0,276,5.1,18.5,1018.1,
2024-06-14,16.9,12.9,22.6,15.8,0,147,7,27.8,1012.8,
2024-06-15,17.1,12.8,21.3,0,0,247,9.4,35.2,1011,
2024-06-16,17.8,13.7,23.4,0.1,0,204,5.7,24.1,1012.1,
2024-06-17,17.6,15.2,22.1,7.4,0,101,5.5,18.5,1014.4,
2024-06-18,21.8,14.1,28.6,0,0,83,6.4,22.2,1013.2,
2024-06-19,22.9,17.1,28.7,0,0,48,6,25.9,1013.1,
2024-06-20,20.7,16.3,27.5,1.7,0,255,5.3,20.4,1017.1,
2024-06-21,18.4,16,24,15.2,0,172,6,24.1,1015.5,
2024-06-22,15.1,13.4,17.8,8.7,0,192,6.1,24.1,1017.4,
2024-06-23,16.7,14,20.9,0.2,0,328,4.3,16.7,1018.2,
2024-06-24,20.7,13.6,27.8,0,0,338,6.4,31.5,1015.9,
2024-06-25,20.6,14.7,28,4.1,0,291,4.9,20.4,1012,
2024-06-26,19.7,16.1,24.9,3.2,0,167,5.1,24.1,1011.2,
2024-06-27,23.1,17,29.8,0.7,0,180,6.3,25.9,1011.3,
2024-06-28,24.9,18.5,32.2,0,0,216,5.5,24.1,1015.4,
2024-06-29,25.3,19.4,31.7,2.8,0,124,6.5,27.8,1011.4,
2024-06-30,19.8,16.7,24.5,0.1,0,240,9.2,37,1011.2,
2024-07-01,19.1,15.1,24,0.3,0,249,7.5,31.5,1016.4,
2024-07-02,16.2,13.4,20.3,4.3,0,262,7,25.9,1017.7,
2024-07-03,15.1,13.2,18,4.3,,234,5.8,22.2,1013.7,
2024-07-04,17.9,13.3,23.5,0.1,0,206,8.3,37,1013.1,
2024-07-05,19.5,13.9,24.1,0,0,249,4.9,18.5,1014.1,
2024-07-06,17.7,13,22.4,23.8,0,197,7,25.9,1009.2,
2024-07-07,16.9,13.1,21.7,0,0,212,4.4,18.5,1015,
2024-07-08,20.4,13.1,27.6,0,0,99,4.8,20.4,1016.4,
2024-07-09,24.9,16.9,32.8,0.4,0,112,6,25.9,1014.6,
2024-07-10,22.7,20,27.9,0.8,0,197,5.1,20.4,1016.9,
2024-07-11,23.1,19.6,28.3,0.4,0,264,4.8,20.4,1017.1,
2024-07-12,20.7,16.1,24.4,6.8,0,206,6.8,24.1,1012.8,
2024-07-13,18.4,13.7,23.4,0,0,263,6.6,22.2,1014.5,
2024-07-14,19.3,12.6,25.1,0,0,137,4,18.5,1014.1,
2024-07-15,22,16.3,29.5,10.9,0,125,6.2,27.8,1011.8,
2024-07-16,20.6,17.1,24.3,0.1,0,246,8.3,35.2,1015.8,
2024-07-17,20.8,15.4,26.7,0,0,273,4.4,22.2,1020.3,
2024-07-18,22.1,14.1,28.8,0,0,296,4.5,16.7,1019.8,
2024-07-19,24,16.9,31.1,0,0,218,4.9,25.9,1017.5,
2024-07-20,26.3,18.5,32.3,2.6,0,102,4.8,16.7,1010.9,
2024-07-21,22.1,19.4,27,0.5,0,215,5.8,29.6,1009.3,
2024-07-22,21.8,17.4,26.5,0.2,0,252,7.2,29.6,1017.5,
2024-07-23,21.1,15.3,26.2,0,0,247,8,33.3,1020.4,
2024-07-24,20.1,14.9,24.1,0,0,288,6.6,24.1,1019.8,
2024-07-25,20.1,13.3,27.2,0,0,293,4.4,16.7,1015.3,
2024-07-26,22.4,15.6,28.6,0,0,232,4.7,20.4,1012.4,
2024-07-27,23.2,18.1,30,3.1,0,235,5.7,24.1,1013.7,
2024-07-28,20.3,16.2,25.3,0,0,297,5.5,20.4,1021.9,
2024-07-29,22.4,14,29.9,0,0,101,4.8,22.2,1020.9,
2024-07-30,25.9,17.8,34.5,0,0,91,4.8,18.5,1016.1,
2024-07-31,24.7,19.8,32.2,1.4,0,188,5.5,22.2,1013.3,
2024-08-01,22.6,18.5,27.2,0.7,0,163,5.9,24.1,1012.5,
2024-08-02,22.5,17.1,30.3,0,0,219,5.3,24.1,1012.5,
2024-08-03,22.1,16.9,27.2,0,0,246,7,31.5,1013.3,
2024-08-04,21.4,16,26,0,0,251,6.6,27.8,1015.7,
2024-08-05,21.8,16,28.4,0,0,281,4.4,20.4,1014.7,
2024-08-06,22.8,15.5,30.2,3.9,0,220,4.9,24.1,1012,
2024-08-07,21.2,18.1,26.7,3.9,0,190,5.2,20.4,1013.4,
2024-08-08,21.8,16,26.5,0,0,269,6.2,27.8,1016.9,
2024-08-09,22.1,14.4,29.5,0,0,228,5.7,25.9,1018.6,
2024-08-10,23.7,17.1,30.7,0,0,262,4.5,18.5,1020.5,
2024-08-11,24.8,16.8,32.2,0,0,81,4.7,18.5,1018.6,
2024-08-12,26.2,21.1,34.2,0.1,0,149,5.1,22.2,1013.2,
2024-08-13,26.3,19.3,33.9,0,0,97,6.3,29.6,1010,
2024-08-14,23.8,18.5,30.3,0.1,0,214,6,24.1,1012.2,
2024-08-15,22.7,16.9,29.6,0,0,266,4.9,24.1,1017.1,
2024-08-16,23.8,18.8,30.1,0,0,246,5.5,22.2,1017.4,
2024-08-17,22.6,19.1,28.1,6.4,0,174,5.1,18.5,1014.3,
2024-08-18,18.7,16.9,22.1,4.5,0,228,6.2,24.1,1012.3,
2024-08-19,19.7,16.6,24,0,0,352,4.7,24.1,1016.6,
2024-08-20,22.2,14.5,26.4,0,0,128,4.3,18.5,1013.8,
2024-08-21,18.7,12.4,22.5,0,0,265,8.5,29.6,1018.4,
2024-08-22,18.3,10.3,27,0,0,203,4.2,14.8,1015.8,
2024-08-23,21.1,12.9,29.5,0,0,168,5.8,22.2,1013.9,
2024-08-24,25.6,16.7,35.4,6.2,0,133,8.5,42.6,1012.2,
2024-08-25,17.6,13.7,21.8,0,0,266,7.3,33.3,1020.9,
2024-08-26,17.1,13.4,22.9,0,0,296,5.1,18.5,1021.7,
2024-08-27,18.9,11.3,25.3,0,0,31,4.9,18.5,1018.9,
2024-08-28,23.3,15.1,31.8,0,0,103,4.6,16.7,1016.5,
2024-08-29,24.8,17.9,33,0,0,143,5.8,22.2,1016.9,
2024-08-30,24.5,18.2,31.7,0,0,253,5,18.5,1020.1,
2024-08-31,23.6,18.5,29.9,0,0,266,4.8,16.7,1021,
2024-09-01,23.1,18.1,32.1,9.1,0,283,5.1,20.4,1022,
2024-09-02,21.8,17.5,27.5,0,0,285,4.9,16.7,1022.3,
2024-09-03,22.8,18.9,29,0.4,0,249,5.1,18.5,1021.5,
2024-09-04,21.2,19,25.3,0.2,0,210,4.3,14.8,1016.1,
2024-09-05,18.8,15,23.2,1.4,0,266,6.5,29.6,1008.6,
2024-09-06,18.5,13.2,25.8,0,0,130,4.3,16.7,1011.7,
2024-09-07,22.1,14.8,29.5,0,0,109,5.8,22.2,1011,
2024-09-08,17.8,14.7,20,1.8,0,250,4.6,13,1011.7,
2024-09-09,15.9,14.3,18.7,10,0,219,9.3,37,1010.4,
2024-09-10,15.3,11.1,18.1,0.1,0,255,10,31.5,1015.8,
2024-09-11,12.9,8.3,16,14,0,215,7.5,25.9,1013,
2024-09-12,10.2,6.9,15.3,0.5,0,229,5.3,20.4,1015.6,
2024-09-13,8.2,5.5,13.5,5.3,0,264,6.3,22.2,1022.2,
2024-09-14,10.9,5.7,14.7,0,0,309,4.8,22.2,1028.9,
2024-09-15,10,3.8,17.2,0,0,289,4.8,20.4,1026.7,
2024-09-16,10.6,6.7,14.8,0.9,0,128,4,18.5,1023.9,
2024-09-17,14.1,11.5,18,0.1,0,341,5.3,20.4,1021,
2024-09-18,14.2,7.7,21.8,0,0,38,5.9,33.3,1019.4,
2024-09-19,14.6,8.7,21.4,0,0,131,4.8,20.4,1017.6,
2024-09-20,16.5,9.8,24,0,0,102,4.2,20.4,1018.7,
2024-09-21,16.7,10.4,24,0,0,115,3.5,13,1019.4,
2024-09-22,16.7,11.2,22.4,0.1,0,143,3.9,18.5,1016.1,
2024-09-23,14.9,13.3,17.2,6,0,155,4,14.8,1012.5,
