date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,-16.2,-17.3,-13.2,,,321,27.9,63,,
2024-01-02,-8.9,-12.8,-6.5,,,317,34.1,94.5,,
2024-01-03,-11.6,-12.7,-8,,,320,44.2,98.2,,
2024-01-04,-12.9,-14.7,-10.6,,,321,38.1,96.3,,
2024-01-05,-11.7,-12.4,-10.6,,,119,21.3,50,,
2024-01-06,-14.6,-17.3,-12,,,305,17.7,42.6,,
2024-01-07,-16,-17.3,-12.8,,,344,24.6,64.8,,
2024-01-08,-11.9,-12.6,-11.2,,,151,26.3,46.3,,
2024-01-09,-13.6,-15.9,-12.3,,,139,24.1,40.8,,
2024-01-10,-15,-15.8,-13.3,,,138,27.2,40.8,,
2024-01-11,-10.6,-13,-9,,,141,22.5,37,,
2024-01-12,-8.6,-9.8,-7,,,353,16.4,51.8,,
2024-01-13,-10.3,-12.4,-8.8,,,309,24.3,46.3,,
2024-01-14,-11.6,-12.6,-10.7,,,314,32.6,72.2,,
2024-01-15,-15.3,-18,-11.5,,,316,43.7,101.8,,
2024-01-16,-13.7,-16.9,-9.4,,,314,31.2,70.4,,
2024-01-17,-6.4,-9.2,-4.2,,,342,23.9,85.2,,
2024-01-18,-9.4,-12.6,-7.3,,,321,28.7,77.8,,
2024-01-19,-19.5,-22,-12.9,,,312,20.2,50,,
2024-01-20,-13.8,-19.4,-9.9,,,330,13.6,50,,
2024-01-21,-9.3,-10.3,-6.6,,,321,18.8,38.9,,
2024-01-22,-6.6,-12.6,-5.2,,,320,30.8,90.8,,
2024-01-23,-11.7,-14.8,-4.7,,,315,47.2,103.7,,
2024-01-24,-6.1,-7.3,-3.9,,,313,50.2,103.7,,
2024-01-25,-7.6,-9,-6.1,,,309,41.4,90.8,,
2024-01-26,-6.9,-9.8,-5.9,,,304,40.6,77.8,,
2024-01-27,-10.3,-12.9,-7.7,,,299,23.5,50,,
2024-01-28,-5.3,-7.5,-3.5,,,313,17.5,33.3,,
2024-01-29,-2.3,-3.9,-1.2,,,285,11.7,25.9,,
2024-01-30,-4,-7.1,-1.6,,,316,10.9,25.9,,
2024-01-31,-8.6,-9.6,-7.4,,,313,21.3,38.9,,
2024-02-01,-9.8,-11.7,-7.7,,,309,32.7,75.9,,
2024-02-02,-8.9,-11.5,-6.1,,,301,34.1,74.1,,
2024-02-03,-6.4,-7.7,-5.7,,,308,31.9,53.7,,
2024-02-04,-7.5,-8.2,-6.8,,,308,36.4,61.1,,
2024-02-05,-6.5,-7,-6,,,312,28,55.5,,
2024-02-06,-8.3,-9.9,-6.8,,,318,25.8,53.7,,
2024-02-07,-10.6,-11.7,-8.5,,,318,31.9,81.5,,
2024-02-08,-7.5,-8.2,-6.8,,,342,29.7,85.2,,
2024-02-09,-9.2,-10.3,-7,,,131,46.1,87,,
2024-02-10,-10.4,-11.3,-9.8,,,140,58.9,94.5,,
2024-02-11,-13.6,-15,-11,,,289,23,53.7,,
2024-02-12,-14.6,-15.5,-13.3,,,314,21,48.2,,
2024-02-13,-13.1,-15.6,-11.1,,,308,25.4,44.5,,
2024-02-14,-9.3,-11.4,-6.2,,,313,25.8,51.8,,
2024-02-15,-3.8,-5.9,-2.3,,,308,15.9,38.9,,
2024-02-16,-3.6,-6,-2.3,,,181,9.8,33.3,,
2024-02-17,-6.3,-7,-5,,,311,12,24.1,,
2024-02-18,-6.2,-9.7,-5,,,312,21.8,59.3,,
2024-02-19,-12,-13.4,-9.7,,,308,33.6,61.1,,
2024-02-20,-13.6,-15.1,-10.9,,,303,25,48.2,,
2024-02-21,-9,-10.4,-7.9,,,310,19.4,53.7,,
2024-02-22,-6.6,-9.8,-5.4,,,325,24.3,81.5,,
2024-02-23,-15.2,-17.3,-10.8,,,336,17.7,53.7,,
2024-02-24,-16.9,-17.6,-16.1,,,142,19.5,46.3,,
2024-02-25,-16.2,-17.7,-14.3,,,130,31.5,75.9,,
2024-02-26,-13.9,-14.4,-13.4,,,142,41.7,70.4,,
2024-02-27,-11,-13.6,-9.4,,,151,33.8,61.1,,
2024-02-28,-8.7,-9.6,-7.2,,,151,27,55.5,,
2024-02-29,-9.4,-10.2,-8.6,,,143,31.1,53.7,,
2024-03-01,-10.3,-10.8,-9.8,,,134,15.5,46.3,,
2024-03-02,-11.3,-12.1,-10.3,,,138,42.1,107.4,,
2024-03-03,-12.3,-12.7,-11.7,,,134,74.2,125.9,,
2024-03-04,-10.3,-11.9,-8.2,,,147,20,57.4,,
2024-03-05,-13,-16,-10.4,,,280,15.8,44.5,,
2024-03-06,-15.8,-16.5,-13.6,,,323,24.2,48.2,,
2024-03-07,-11.9,-13.3,-10.4,,,156,11.3,24.1,,
2024-03-08,-12.5,-13.7,-11.1,,,133,31.8,66.7,,
2024-03-09,-13.4,-14.1,-11.8,,,142,61.9,114.8,,
2024-03-10,-12.3,-14,-11.1,,,155,55.2,114.8,,
2024-03-11,-13.9,-15,-12.2,,,162,13.4,33.3,,
2024-03-12,-13.9,-15.1,-10.9,,,308,29.9,53.7,,
2024-03-13,-9,-10.5,-7.4,,,303,30,72.2,,
2024-03-14,-6.3,-7.7,-4.9,,,315,15,27.8,,
2024-03-15,-8.5,-9.8,-7.8,,,319,16.8,55.5,,
2024-03-16,-10.6,-11.3,-9.6,,,311,29.1,57.4,,
2024-03-17,-8.4,-9.8,-6.7,,,316,20.4,53.7,,
2024-03-18,-7.4,-9.2,-6,,,317,33.7,66.7,,
2024-03-19,-8,-10,-6.6,,,308,18.1,48.2,,
2024-03-20,-5.8,-7.3,-4.2,,,313,11.2,25.9,,
2024-03-21,-7.8,-9.6,-6,,,312,36.2,83.3,,
2024-03-22,-5.8,-8.6,-4.3,,,310,27.6,57.4,,
2024-03-23,-11.2,-17,-4.6,,,312,30,74.1,,
2024-03-24,-17.5,-18.2,-16.8,,,310,38.9,77.8,,
2024-03-25,-11.6,-17.9,-7,,,27,22.8,55.5,,
2024-03-26,-10,-11,-8.7,,,141,52.9,92.6,,
2024-03-27,-11.3,-14,-10,,,150,46.7,85.2,,
2024-03-28,-12.2,-13.8,-9.9,,,90,22.6,92.6,,
2024-03-29,-7.6,-9,-6.7,,,140,57,138.9,,
2024-03-30,-9.1,-9.7,-8.4,,,142,76.9,129.6,,
2024-03-31,-9.6,-10.6,-8.4,,,147,69.6,107.4,,
2024-04-01,-10.8,-13.2,-7.7,,,200,39.7,111.1,,
2024-04-02,-13.1,-14.9,-9.5,,,309,20.8,59.3,,
2024-04-03,-9.5,-10.7,-8.7,,,326,22.7,63,,
2024-04-04,-8.1,-9.5,-6.8,,,308,27.3,74.1,,
2024-04-05,-3.9,-7.2,-1.9,,,301,22.5,66.7,,
2024-04-06,0.4,-2.2,2.4,,,315,14.5,50,,
2024-04-07,0.6,-1.3,1.8,,,169,20.5,57.4,,
2024-04-08,-1.9,-4,-0.8,,,136,41.4,79.6,,
2024-04-09,-7.4,-12.7,-4.1,,,140,48.2,88.9,,
2024-04-10,-11.4,-14.9,-6.1,,,291,26.6,48.2,,
2024-04-11,-3.4,-6.6,0.5,,,153,21.1,57.4,,
2024-04-12,-0.9,-2.2,0.6,,,304,12.9,27.8,,
2024-04-13,0.6,-0.7,1.9,,,310,17.5,33.3,,
2024-04-14,0.3,-0.8,1.5,,,314,16.9,46.3,,
2024-04-15,-3.6,-7.3,-0.3,,,323,25.7,74.1,,
2024-04-16,-13.9,-16.7,-7.4,,,308,40.4,75.9,,
2024-04-17,-16.7,-17.6,-15.6,,,311,36.4,66.7,,
